,date,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,temp_mean_daily_min,temp_mean_daily_max,wet_bulb_temperature,year,month
182,1997-03-01,17.4,10,34.3,79.6,44,7.0,28.1,24.9,32.8,25.227688172043013,1997,03
183,1997-04-01,44.6,12,118.4,82.7,46,5.6,28.1,25.0,32.5,25.68263888888889,1997,04
184,1997-05-01,35.6,6,41.6,77.7,49,6.7,29.3,26.3,33.6,26.157526881720432,1997,05
185,1997-06-01,25.0,12,78.9,76.7,49,7.3,29.3,26.0,33.2,25.96847222222222,1997,06
186,1997-07-01,5.4,9,18.6,76.5,47,6.5,28.8,26.0,32.4,25.524327956989247,1997,07
187,1997-08-01,61.4,9,86.6,78.2,52,5.7,28.8,25.9,32.6,25.7252688172043,1997,08
188,1997-09-01,24.3,3,31.1,77.0,43,3.2,28.8,26.3,32.2,25.580277777777777,1997,09
189,1997-10-01,36.5,8,78.4,81.0,49,3.2,28.2,25.1,32.4,25.561693548387098,1997,10
190,1997-11-01,53.6,13,158.3,82.8,50,5.4,27.8,24.8,32.0,25.43972222222222,1997,11
191,1997-12-01,65.8,23,351.9,85.3,50,5.3,27.3,24.6,31.3,25.358467741935485,1997,12
192,1998-01-01,79.7,13,268.8,83.2,53,7.4,28.0,25.3,31.8,25.736424731182797,1998,01
193,1998-02-01,11.9,5,32.5,78.3,50,8.9,28.9,25.9,33.1,25.87827380952381,1998,02
194,1998-03-01,20.9,7,58.8,77.8,47,7.6,29.5,26.3,34.1,26.263440860215052,1998,03
195,1998-04-01,64.9,13,187.7,81.8,53,6.7,29.2,26.3,33.1,26.697222222222223,1998,04
196,1998-05-01,83.7,18,370.8,82.3,53,5.9,29.4,26.3,33.1,26.913978494623656,1998,05
197,1998-06-01,42.8,15,198.8,82.1,50,5.3,28.6,25.4,32.4,26.106944444444444,1998,06
198,1998-07-01,55.8,18,259.2,81.8,51,5.1,28.1,24.9,31.5,25.640860215053763,1998,07
199,1998-08-01,35.5,18,195.0,85.4,56,4.6,27.5,24.7,30.9,25.504435483870967,1998,08
200,1998-09-01,52.0,17,258.2,84.1,47,4.5,27.9,24.9,31.1,25.755277777777778,1998,09
201,1998-10-01,32.4,20,222.7,82.3,48,5.0,28.0,24.6,31.9,25.591397849462364,1998,10
202,1998-11-01,57.5,11,107.2,81.9,49,4.6,27.9,24.9,31.7,25.448749999999997,1998,11
203,1998-12-01,84.4,22,463.4,88.5,55,3.1,26.6,24.2,30.4,25.08508064516129,1998,12
204,1999-01-01,52.5,19,193.9,88.3,60,3.9,26.6,24.3,30.4,25.05483870967742,1999,01
205,1999-02-01,32.1,9,67.4,82.4,58,6.7,27.2,24.5,31.3,24.86636904761905,1999,02
206,1999-03-01,52.4,16,181.4,87.5,56,4.3,27.1,24.4,31.5,25.45228494623656,1999,03
207,1999-04-01,29.2,14,88.5,82.6,46,5.8,28.3,25.4,32.5,25.886805555555554,1999,04
208,1999-05-01,42.8,13,157.1,84.4,52,5.7,28.0,25.3,31.7,25.910618279569892,1999,05
209,1999-06-01,34.5,13,103.4,81.9,54,6.0,28.2,25.3,31.8,25.735972222222223,1999,06
210,1999-07-01,51.4,11,225.4,82.7,56,6.8,27.8,24.7,31.2,25.40255376344086,1999,07
211,1999-08-01,42.4,13,204.0,84.1,51,5.7,27.5,24.5,31.0,25.37244623655914,1999,08
212,1999-09-01,41.5,13,125.9,81.7,50,6.5,27.9,24.9,31.9,25.40402777777778,1999,09
213,1999-10-01,32.8,20,205.0,84.6,53,4.7,27.2,24.3,31.1,25.106182795698924,1999,10
214,1999-11-01,39.0,19,241.5,84.4,47,4.7,27.3,24.5,31.3,25.14402777777778,1999,11
215,1999-12-01,76.9,17,340.5,85.3,56,4.1,26.8,24.1,30.6,24.823924731182796,1999,12
216,2000-01-01,127.6,14,275.2,86.9,60,4.0,26.3,23.9,29.8,24.6377688172043,2000,01
217,2000-02-01,39.9,18,237.8,86.5,58,5.8,26.6,23.8,31.0,24.785344827586204,2000,02
218,2000-03-01,37.9,15,238.3,85.8,44,5.8,27.2,24.3,31.9,25.315188172043012,2000,03
219,2000-04-01,87.4,20,311.6,85.6,54,5.3,27.5,24.6,31.9,25.554305555555555,2000,04
220,2000-05-01,36.7,10,96.8,82.4,49,6.8,28.6,25.7,32.7,26.170698924731184,2000,05
221,2000-06-01,41.7,16,157.5,84.3,53,4.6,27.6,24.7,31.1,25.51236111111111,2000,06
222,2000-07-01,34.6,12,116.1,82.6,56,6.5,28.1,25.3,31.6,25.746370967741935,2000,07
223,2000-08-01,28.1,18,113.5,83.8,46,5.1,27.5,24.8,30.7,25.354569892473116,2000,08
224,2000-09-01,25.7,12,81.1,82.2,48,6.2,28.0,25.2,32.1,25.6075,2000,09
225,2000-10-01,38.3,14,120.9,82.1,51,4.0,27.8,24.9,31.8,25.331989247311828,2000,10
226,2000-11-01,72.0,21,385.7,87.1,47,3.7,27.3,24.7,31.3,25.583194444444448,2000,11
227,2000-12-01,45.8,18,236.0,87.6,60,4.2,27.0,24.4,31.0,25.335887096774197,2000,12
228,2001-01-01,125.4,21,425.8,87.4,49,4.4,26.5,24.0,30.3,24.856854838709676,2001,01
229,2001-02-01,28.2,11,86.6,83.6,58,4.8,27.0,24.5,30.9,24.788095238095234,2001,02
230,2001-03-01,41.1,20,297.3,84.5,50,5.4,27.5,24.2,31.8,25.350806451612904,2001,03
231,2001-04-01,68.9,18,203.3,86.0,50,5.3,27.7,25.1,31.8,25.86472222222222,2001,04
232,2001-05-01,56.1,12,164.9,85.0,57,6.0,28.5,25.7,32.2,26.47056451612903,2001,05
233,2001-06-01,49.6,11,137.1,82.5,49,4.9,28.2,25.4,31.4,25.77097222222222,2001,06
234,2001-07-01,44.8,9,111.3,80.8,50,8.1,28.4,25.5,32.2,25.7880376344086,2001,07
235,2001-08-01,36.6,14,158.3,83.7,50,4.9,28.0,25.2,31.1,25.804973118279573,2001,08
236,2001-09-01,74.3,13,162.0,82.3,54,6.2,28.0,25.2,31.6,25.575833333333332,2001,09
237,2001-10-01,77.2,20,252.2,83.7,47,4.4,27.6,24.7,31.4,25.423387096774192,2001,10
238,2001-11-01,102.6,15,175.3,84.9,54,3.7,27.2,24.7,30.8,25.157083333333333,2001,11
239,2001-12-01,211.1,20,609.0,86.8,55,4.5,26.7,24.1,30.7,24.94233870967742,2001,12
240,2002-01-01,83.8,11,221.2,83.6,49,6.9,27.0,24.5,30.9,24.83279569892473,2002,01
241,2002-02-01,41.7,2,50.8,80.9,53,7.4,27.3,24.5,31.3,24.705357142857142,2002,02
242,2002-03-01,26.4,8,55.6,80.8,40,7.6,28.2,25.1,33.0,25.528494623655916,2002,03
243,2002-04-01,39.4,13,116.5,82.3,50,6.6,28.6,25.6,33.0,26.13722222222222,2002,04
244,2002-05-01,75.9,13,236.6,82.3,52,6.2,28.9,26.1,32.6,26.417473118279567,2002,05
